12 654
7 121 910
7 121 1934
7 121 3982
7 121 1921
7 121 3969
7 121 905
7 121 1929
7 121 3977
7 121 409
7 121 921
7 121 1945
7 121 3993
7 121 441
7 121 953
7 121 1977
7 121 4025
7 121 1923
7 121 3971
7 249 3850
7 249 1818
7 249 3866
7 249 826
7 249 1850
7 249 3898
7 249 378
7 249 890
7 249 1914
7 249 3962
7 249 506
7 249 1018
7 249 2042
7 249 4090
7 249 3854
7 249 3849
7 249 1817
7 249 3865
7 249 825
7 249 1849
7 249 3897
7 249 889
7 249 1913
7 249 3961
7 505 3642
7 505 1658
7 505 3706
7 505 762
7 505 1786
7 505 3834
7 505 1018
7 505 2042
7 505 4090
7 505 3641
7 505 1657
7 505 3705
7 505 1785
7 505 3833
7 1017 3322
7 1017 1530
7 1017 3578
7 1017 2042
7 1017 4090
7 1017 3321
7 1017 3577
7 2041 3066
7 2041 4090
15 51 212
15 51 468
15 51 980
15 51 2004
15 51 4052
15 51 60
15 51 124
15 51 252
15 51 508
15 51 1020
15 51 2044
15 51 4092
15 51 449
15 51 961
15 51 1985
15 51 4033
15 51 85
15 51 213
15 51 469
15 51 981
15 51 2005
15 51 4053
15 51 195
15 51 451
15 51 963
15 51 1987
15 51 4035
15 113 402
15 113 914
15 113 1938
15 113 3986
15 113 406
15 113 918
15 113 1942
15 113 3990
15 113 414
15 113 926
15 113 1950
15 113 3998
15 113 897
15 113 1921
15 113 3969
15 113 899
15 113 1923
15 113 3971
15 113 903
15 113 1927
15 113 3975
15 115 916
15 115 1940
15 115 3988
15 115 188
15 115 444
15 115 956
15 115 1980
15 115 4028
15 115 124
15 115 252
15 115 508
15 115 1020
15 115 2044
15 115 4092
15 115 1921
15 115 3969
15 115 405
15 115 917
15 115 1941
15 115 3989
15 115 181
15 115 437
15 115 949
15 115 1973
15 115 4021
15 115 501
15 115 1013
15 115 2037
15 115 4085
15 115 899
15 115 1923
15 115 3971
15 115 403
15 115 915
15 115 1939
15 115 3987
15 115 947
15 115 1971
15 115 4019
15 241 1810
15 241 3858
15 241 818
15 241 1842
15 241 3890
15 241 882
15 241 1906
15 241 3954
15 241 1010
15 241 2034
15 241 4082
15 241 1814
15 241 3862
15 241 1822
15 241 3870
15 241 3841
15 241 1809
15 241 3857
15 241 1841
15 241 3889
15 241 1905
15 241 3953
15 241 3843
15 241 3847
15 243 3860
15 243 828
15 243 1852
15 243 3900
15 243 380
15 243 892
15 243 1916
15 243 3964
15 243 252
15 243 508
15 243 1020
15 243 2044
15 243 4092
15 243 1813
15 243 3861
15 243 821
15 243 1845
15 243 3893
15 243 373
15 243 885
15 243 1909
15 243 3957
15 243 1013
15 243 2037
15 243 4085
15 243 3843
15 243 1811
15 243 3859
15 243 819
15 243 1843
15 243 3891
15 243 1907
15 243 3955
15 497 3634
15 497 1650
15 497 3698
15 497 1778
15 497 3826
15 497 2034
15 497 4082
15 497 3633
15 497 3697
15 497 3825
15 499 3644
15 499 1660
15 499 3708
15 499 764
15 499 1788
15 499 3836
15 499 508
15 499 1020
15 499 2044
15 499 4092
15 499 3637
15 499 1653
15 499 3701
15 499 757
15 499 1781
15 499 3829
15 499 2037
15 499 4085
15 499 3635
15 499 1651
15 499 3699
15 499 3827
15 1009 3314
15 1009 3570
15 1009 4082
15 1011 3324
15 1011 1532
15 1011 3580
15 1011 1020
15 1011 2044
15 1011 4092
15 1011 3317
15 1011 1525
15 1011 3573
15 1011 4085
15 1011 3315
15 2035 3068
15 2035 2044
15 2035 4092
15 2035 3061
15 4083 4092
31 227 1828
31 227 3876
31 227 364
31 227 876
31 227 1900
31 227 3948
31 227 380
31 227 892
31 227 1916
31 227 3964
31 227 3841
31 227 805
31 227 1829
31 227 3877
31 227 813
31 227 1837
31 227 3885
31 227 1853
31 227 3901
31 227 1795
31 227 3843
31 227 1799
31 227 3847
31 227 3855
31 481 3618
31 481 3622
31 481 3630
31 481 3646
31 483 1644
31 483 3692
31 483 748
31 483 1772
31 483 3820
31 483 1004
31 483 2028
31 483 4076
31 483 1660
31 483 3708
31 483 3621
31 483 1637
31 483 3685
31 483 1765
31 483 3813
31 483 4069
31 483 3629
31 483 3619
31 483 3683
31 993 3298
31 995 3308
31 995 1516
31 995 3564
31 995 2028
31 995 4076
31 995 3301
31 995 3557
31 2019 3052
31 2019 4076
63 455 1752
63 455 3800
63 455 504
63 455 1016
63 455 2040
63 455 4088
63 455 3657
63 455 729
63 455 1753
63 455 3801
63 455 1611
63 455 3659
63 455 3591
63 963 3276
63 963 3292
63 963 3324
63 967 1528
63 967 3576
63 967 1016
63 967 2040
63 967 4088
63 967 3289
63 967 1497
63 967 3545
63 967 4057
63 967 3275
63 1991 3064
63 1991 2040
63 1991 4088
63 1991 3033
63 4039 4088
127 1927 3000
127 1927 3064
255 3855 4080
